date,sma_50,sma_200,ema_10,macd,macd_signal,macd_histogram,rsi,bollinger_middle,bollinger_upper,bollinger_lower,atr,vwma,stoch_k,stoch_d
2022-10-06,246.79,246.79,246.79,0.0,0.0,0.0,,246.79,,,4.259999999999991,246.79,16.666666662753858,16.666666662753858
2022-10-07,240.515,240.515,244.5081818181818,-1.0011396011396414,-0.2002279202279283,-0.8009116809117132,0.0,240.515,258.2633802077823,222.76661979221768,4.928571428571421,238.6187783897465,6.231799650190464,11.449233156472161
2022-10-10,236.76,236.76,241.73396694214875,-2.172161914270191,-0.5946147190363809,-1.5775471952338103,0.0,236.76,254.83492185321967,218.6850781467803,5.135816326530606,235.44326439749707,10.673443455710608,11.190636589551644
2022-10-11,233.9225,233.9225,238.76597295266714,-3.3712003429135677,-1.1499318438118182,-2.2212684991017495,0.0,233.9225,252.54035075315264,215.3046492468474,5.136115160349848,232.85710860707908,4.956157071865886,7.287133392588985
2022-10-12,232.288,232.288,236.39943241581858,-4.245077170563917,-1.7689609091622382,-2.4761162614016787,1.8623454142119726,232.288,249.99110933141407,214.58489066858596,5.0478212203248605,231.74619527442178,6.78544351755928,7.471681348378591
2022-10-13,232.61333333333334,232.61333333333334,236.0068083402152,-4.204096597690949,-2.2559880468679805,-1.9481085508229685,34.61024251650646,232.61333333333334,248.52748636347184,216.69918030319485,5.899405418873085,232.32707032079648,48.41396987989705,20.051856823107403
2022-10-14,232.03428571428572,232.03428571428572,234.65284318744878,-4.577184791620198,-2.7202273958184238,-1.856957395801774,27.90200434556921,232.03428571428572,246.88145764316542,217.187113785406,6.113733603239294,231.79268709243738,30.214674782755072,28.47136272673713
2022-10-17,232.72125,232.72125,235.17596260791262,-4.101773151061991,-2.996536546867137,-1.1052366041948538,45.776078164819495,232.72125,247.0058128464537,218.4366871535463,6.419895488722202,232.46258462134637,58.95546299074157,45.86136921779789
2022-10-18,233.36333333333334,233.36333333333334,235.78033304283758,-3.6051768725498903,-3.118264612003688,-0.4869122605462022,47.29765630163931,233.36333333333334,247.26960529960812,219.45706136705857,6.572760096670616,233.05716389885595,62.063441202753495,50.411192992083386
2022-10-19,233.675,233.675,235.9075452168671,-3.336160678586822,-3.161843825320315,-0.17431685326650692,44.49737267235813,233.675,246.9333064110349,220.41669358896513,6.483277232622717,233.29523730854496,55.59115667876988,58.87002029075498
2022-10-20,233.9,233.9,235.95162790470943,-3.1136988664666205,-3.1522148335495763,0.03851596708295579,44.038656851425955,233.9,246.56617227105332,221.2338277289467,6.480186001721094,233.49664513343038,54.533803266435974,57.39613371598645
2022-10-21,234.585,234.585,237.07315010385315,-2.427682359916986,-3.0073083388230586,0.5796259789060727,53.39824424878276,234.585,247.56074660665044,221.60925339334958,6.624458430169588,234.17272755647122,73.662287725932,61.26241589037929
2022-10-24,235.55923076923077,235.55923076923077,238.9234864486071,-1.453308374900388,-2.6965083460385246,1.2431999711381367,59.64424171654564,235.55923076923077,249.8313608637856,221.28710067467594,6.618425685157473,235.07673947700764,90.0993271358507,72.7651393760729
2022-10-25,236.63785714285714,236.63785714285714,241.0573980034058,-0.4013252427660632,-2.2374717253840326,1.8361464826179694,63.17719644797628,236.63785714285714,252.54940336868648,220.7263109170278,6.517823850503366,236.44820430868936,98.80915073334977,87.52358853171081
2022-10-26,236.28333333333333,236.28333333333333,239.28696200278657,-1.115340449865755,-2.0130454702803773,0.8977050204146222,41.16552594136712,236.28333333333333,251.86006078473463,220.70660588193203,7.523693575467411,235.56204883147615,38.201190848066396,75.70322290575562
2022-10-27,235.6875,235.6875,237.00751436591625,-2.026602045743118,-2.0157567853729255,-0.010845260370192733,37.81295706619123,235.6875,251.47293379194883,219.90206620805117,7.551286891505453,234.87449688884976,23.879661547355717,53.63000104292396
2022-10-28,235.69823529411764,235.69823529411764,236.8006935721133,-1.9899368909946986,-2.01059280649728,0.02065591550258139,47.07611518754528,235.69823529411764,250.98267220768125,220.41379838055403,7.765480684969348,234.94691706641177,52.46004387174995,38.18029875572402
2022-10-31,235.5,235.5,235.95147655900178,-2.2368808650123526,-2.0558504182002943,-0.18103044681205827,44.17040685869329,235.5,250.42318370069557,220.57681629930443,7.54794635032868,234.8108603288792,40.739580067667205,39.026428495590956
2022-11-01,235.1142105263158,235.1142105263158,234.53666263918325,-2.720761404598676,-2.1888326154799707,-0.5319287891187052,41.26603380911469,235.1142105263158,250.00180463952066,220.22661641311092,7.609521611019488,234.48196491347358,28.32967721628548,40.50976705190088
2022-11-02,234.36350000000002,234.36350000000002,231.91181488660447,-3.712624945247825,-2.4935910814335416,-1.2190338638142832,36.06206565249335,234.36350000000002,250.33411284787914,218.3928871521209,7.870270067375241,233.64007957525317,0.19354838709053804,23.087601890347738
2022-11-03,233.4057142857143,233.4057142857143,228.70057581631272,-4.914083560340515,-2.977689577214936,-1.936393983125579,32.83000254558813,232.73649999999998,249.95784327543947,215.51515672456048,7.767393633991296,232.18805923249357,0.7285483000343356,9.750591301136785
2022-11-04,232.85954545454544,232.85954545454544,227.37138021334675,-5.2298236882867,-3.428116399429289,-1.8017072888574113,39.9089115811483,232.094,250.02342938006493,214.16457061993506,7.795436945849061,231.48108036520026,21.164583886701244,7.36222685794204
2022-11-07,232.64260869565217,232.64260869565217,227.46203835637462,-4.900676225130184,-3.722628364569468,-1.1780478605607154,45.52049742387419,232.025,250.01104546805513,214.03895453194488,7.747905735431271,231.40021924207628,38.39404413617672,20.095725440970767
2022-11-08,232.48541666666665,232.48541666666665,227.71803138248833,-4.507176916672734,-3.879538074990122,-0.6276388416826117,46.353085084175454,232.198,249.98156378942733,214.4144362105727,7.6094838971861805,231.565469729414,41.05291145862663,33.537179827168195
2022-11-09,232.16639999999998,232.16639999999998,227.13475294930862,-4.495322165981918,-4.002694893188481,-0.49262727279343643,43.24959705464718,232.13600000000002,250.02256467266628,214.24943532733377,7.390235047387168,231.4636441950506,29.46024993274498,36.30240184251611
2022-11-10,232.5823076923077,232.5823076923077,230.01570695852524,-2.9614151998738976,-3.794438954525565,0.8330237546516672,56.52800696121985,232.573,251.09189402176796,214.05410597823206,8.206646829716657,232.07112046829747,78.56952937839485,49.69423025658882
2022-11-11,233.12037037037038,233.12037037037038,233.12376023879338,-1.3964292269986913,-3.3148370090201906,1.9184077820214993,58.84673219210545,233.50050000000002,253.0050198270609,213.99598017293914,8.053314913308325,232.98320987445888,89.55065142011306,65.86014357708429
2022-11-14,233.42142857142858,233.42142857142858,234.65580383174,-0.5979196559198385,-2.77145353840012,2.1735338824802817,54.62274420415426,233.70149999999998,253.46203725564106,213.9409627443589,8.042363848072016,233.18416211744238,81.36574073838642,83.16197384563144
2022-11-15,233.71620689655174,233.71620689655174,235.98565768051455,0.06801142861112908,-2.2035605449978704,2.2715719736089994,54.88617657529451,233.875,253.87244667911907,213.87755332088093,7.965766430352587,233.37955833584607,82.58101851612899,84.49913689154282
2022-11-16,233.98333333333332,233.98333333333332,237.03008355678463,0.5698319486440937,-1.6488820462694775,2.2187139949135712,54.69079133437699,234.1375,254.4147975205485,213.8602024794515,7.638211685327404,233.5786702731058,81.88657407170462,81.94444444207335
2022-11-17,234.23161290322582,234.23161290322582,237.8755229100965,0.9525137583719925,-1.1286028853411836,2.081116643713176,54.6471458109527,234.41400000000004,254.95593082709766,213.87206917290243,7.494053707804019,233.76602175482944,81.74189814578294,82.06983024453886
2022-11-18,234.45,234.45,238.4836096537153,1.204785674730033,-0.6619251733269403,1.8667108480569734,54.21845404712246,234.36899999999997,254.84368567974144,213.8943143202585,7.295192728675161,233.74625036065035,80.4108796273029,81.34645061493016
2022-11-21,234.68030303030304,234.68030303030304,239.1320442621307,1.454915686979433,-0.23855700126566565,1.6934726882450988,54.905843505445944,234.10899999999998,254.0192522123125,214.19874778768747,7.022678962341221,233.57958910519312,82.81249999760382,81.6550925902299
2022-11-22,234.98470588235293,234.98470588235293,240.20439985083422,1.8720270562691042,0.18355981024128834,1.6884672460278158,57.38011602617456,233.82749999999996,252.8937776153412,214.7612223846587,6.849630465031134,233.04372310858508,91.43518518253948,84.88618826914873
2022-11-23,235.3445714285714,235.3445714285714,241.54541805977345,2.380908874871892,0.6230296231674091,1.757879251704483,59.43140043897103,234.64050000000003,254.62132393854566,214.6596760614544,6.64679971752891,233.72488951226663,97.9913916758109,90.74635895198475
2022-11-25,235.6819444444444,235.6819444444444,242.62625113981463,2.745293104547926,1.0474823194435126,1.6978107851044135,59.322877177924816,235.6775,256.0823527509873,215.2726472490127,6.312742594848274,234.412812412296,95.5871626515104,95.00457983662027
2022-11-28,235.8462162162162,235.8462162162162,242.46875093257557,2.54239991578072,1.3464658387109543,1.195934077069766,52.722082503026215,235.97200000000004,256.55776779693866,215.38623220306144,6.339689552359111,234.6252638302392,71.52236355882138,88.36697262871422
2022-11-29,235.96421052631578,235.96421052631578,242.07988712665275,2.2403907232619247,1.5252508156211484,0.7151399076407763,51.19122201714478,236.382,256.97221187999673,215.79178812000328,6.213997441476316,234.9303445946446,65.65449322668638,77.58800647900604
2022-11-30,236.45589743589744,236.45589743589744,244.45445310362499,3.159666817747052,1.8521340160463293,1.3075328017007226,63.131246474605234,237.73049999999998,259.55203207511477,215.90896792488516,6.875140481370865,236.92909519471144,99.06542055587467,78.74742578046082
2022-12-01,236.91174999999998,236.91174999999998,246.31546163023862,3.8079923411442564,2.243305681065915,1.5646866600783413,62.62990781787315,239.46000000000004,260.8772493196735,218.04275068032655,6.7554875898443765,238.86654347551848,92.26608977326843,85.6620011852765
2022-12-02,237.35341463414633,237.35341463414633,247.89810497019522,4.298868550744402,2.6544182550016124,1.6444502957427893,62.862814487533605,241.4985,260.42927725209466,222.56772274790535,6.72795276199835,241.1089808927256,94.05083828588154,95.12744953834154
2022-12-05,237.65928571428572,237.65928571428572,248.31663133925062,4.249966794154858,2.9735279628322617,1.2764388313225963,57.250349081302964,242.939,259.68566709967604,226.19233290032395,6.744527564712754,242.8345380847578,67.98269334407874,84.7665404677429
2022-12-06,237.8327906976744,237.8327906976744,247.73542564120504,3.757978616836482,3.130418093633106,0.6275605232033761,51.98266463803956,243.80150000000003,258.9842149295369,228.61878507046313,6.8399184529475585,243.8716545796552,40.50838290749011,67.51397151248347
2022-12-07,237.98136363636365,237.98136363636365,247.12353007007684,3.2698627671786937,3.1583070283422234,0.1115557388364703,51.23315886863996,244.57650000000004,258.0344771296082,231.11852287039187,6.633495706308447,244.6964750176955,36.452136287915,48.31440417982795
2022-12-08,238.19066666666666,238.19066666666666,247.17379733006288,3.091881827792321,3.1450219882322434,-0.053140160439922646,54.11177497061986,245.721,255.33914710244207,236.10285289755794,6.565388870143559,245.89553697052045,51.31211613337174,42.757545109592286
2022-12-09,238.34782608695653,238.34782608695653,246.85492508823324,2.759254233369461,3.0678684372596874,-0.3086142038902264,51.95362211339811,245.843,255.37628153586735,236.30971846413263,6.3928610937047345,246.14864645776305,40.25683975207936,42.67369739112203
2022-12-12,238.6491489361702,238.6491489361702,247.88312052673626,3.032788121119438,3.060852374031638,-0.028064252912199716,58.35813778661171,246.113,256.0927903152745,236.1332096847255,6.4447995870115395,246.47864065414157,79.84366275377748,57.13753954640953
2022-12-13,239.02979166666668,239.02979166666668,249.52618952187512,3.5643284819364283,3.1615475956125962,0.402780886323832,61.771554540340595,246.88150000000002,257.7126486002181,236.050351399782,6.79945675936786,247.6634122518115,72.77323998161133,64.29124749582273
2022-12-14,239.40102040816325,239.40102040816325,250.92506415426146,3.9640899785088664,3.3220560721918506,0.6420339063170157,61.99975312143312,247.64399999999995,259.14570769929423,236.14229230070566,6.905209847984439,248.68666347233017,73.9401011250899,75.51900128682624
2022-12-15,239.5932,239.5932,250.57687067166847,3.5771898407407434,3.3730828259016294,0.20410701483911398,52.72414425440555,248.00799999999998,259.17764608589795,236.838353914102,7.117694858842696,249.03320536869484,42.00700116522718,62.90678075730947
