ticker,start_date,end_date,calendar_days,return_days,initial_cash,final_value,total_commission,trade_count,final_cash,final_shares,SPR,CR,MDD,AV
AMZN,2022-10-06,2023-04-10,187,186,100000.0,104171.43400000001,51.147,14,104171.43400000001,0,0.22992415307794686,4.171434000000018,-22.53011687980796,26.003125458242394
MSFT,2022-10-06,2023-04-10,187,186,100000.0,116723.79282780345,37.2606,21,116723.79282780345,0,1.0179289317165214,16.72379282780345,-11.43819237882635,19.508965179071048
NFLX,2022-10-06,2023-04-10,187,186,100000.0,118765.62900000002,18.846,13,118765.62900000002,0,1.3810575668585179,18.765629000000004,-6.023426846945002,15.567886776085835
TSLA,2022-10-06,2023-04-10,187,186,100000.0,146905.72090000001,14.274099999999999,6,146905.72090000001,0,1.818270270558128,46.90572090000003,-7.872103405290498,29.329533376737192
Average,,,187.0,186.0,100000.0,121641.64418195088,30.381925,13.5,121641.64418195088,0.0,1.1117952305527785,21.641644181950873,-11.965959877717452,22.602377697534116
