ticker,date,type,price,quantity,position_pct,commission,cash_after,shares_after,signal_date,signal_price
AMZN,2022-10-19,buy,114.71,859,100.0,4.2091,1459.9009000000078,859,2022-10-18,116.36
AMZN,2022-10-20,buy,113.83,12,100.0,0.99,92.95090000000778,871,2022-10-19,115.07
AMZN,2022-10-28,sell,97.905,871,-100.0,4.2679,85363.93800000001,0,2022-10-27,110.96
AMZN,2022-12-14,buy,92.502,922,100.0,4.5178,72.57620000001043,922,2022-12-13,92.49
AMZN,2022-12-16,sell,88.265,922,-100.0,4.5178,81448.38840000001,0,2022-12-15,88.45
AMZN,2023-01-07,buy,83.03,946,100.0,4.6354,2897.373000000007,946,2023-01-06,86.08
AMZN,2023-01-10,buy,87.57,33,100.0,0.99,6.573000000007141,979,2023-01-09,87.36
AMZN,2023-02-10,sell,97.56,979,-100.0,4.7970999999999995,95513.01590000001,0,2023-02-09,98.24
AMZN,2023-03-15,buy,93.22,1006,100.0,4.9294,1728.766500000027,1006,2023-03-14,94.88
AMZN,2023-03-16,buy,95.75,17,100.0,0.99,100.026500000027,1023,2023-03-15,96.2
AMZN,2023-03-21,buy,98.14,1,100.0,0.9814,0.9051000000270051,1024,2023-03-20,97.71
AMZN,2023-04-10,final_sell,102.17,1024,100.0,5.0176,104617.96750000003,0,,
MSFT,2022-10-19,buy,232.0920105209743,428,100.0,2.0972,662.5222970229952,428,2022-10-18,233.5215
MSFT,2022-10-22,buy,229.83995277548323,2,100.0,0.99,201.85239147202873,430,2022-10-21,237.0659
MSFT,2022-10-27,sell,226.21725015214992,430,-100.0,2.1069999999999998,97473.16295689649,0,2022-10-26,226.4914
MSFT,2022-11-11,buy,237.91780131115695,409,100.0,2.0040999999999998,162.77812063328747,409,2022-11-10,237.908
MSFT,2022-12-08,sell,240.40477387227162,409,-100.0,2.0040999999999998,98486.32653439237,0,2022-12-07,239.9433
MSFT,2022-12-14,buy,252.47213033589918,390,100.0,1.911,20.284703391691437,390,2022-12-13,252.2659
MSFT,2022-12-17,sell,244.04757703624995,390,-100.0,1.911,95196.92874752918,0,2022-12-16,240.2575
MSFT,2023-01-13,buy,232.70679597040507,406,100.0,1.9893999999999998,715.9801835447142,406,2023-01-12,234.1894
MSFT,2023-01-14,buy,232.70679597040507,3,100.0,0.99,16.869795633499052,409,2023-01-13,234.8964
MSFT,2023-01-19,sell,229.5450873453197,409,-100.0,2.0040999999999998,93898.80641986924,0,2023-01-18,231.5383
MSFT,2023-01-21,buy,230.60549672799934,398,100.0,1.9502,2115.8685221255,398,2023-01-20,235.8684
MSFT,2023-01-24,buy,238.10716720376797,8,100.0,0.99,210.02118449535624,406,2023-01-23,238.1857
MSFT,2023-02-22,sell,250.11210896187032,406,-100.0,1.9893999999999998,101753.54802301471,0,2023-02-21,248.7143
MSFT,2023-03-15,buy,255.9098791139241,396,100.0,1.9404,411.29549390076136,396,2023-03-14,256.7072
MSFT,2023-03-16,buy,261.05795597031135,1,100.0,0.99,149.24753793045,397,2023-03-15,261.2844
