ticker,start_date,end_date,calendar_days,return_days,initial_cash,final_value,total_commission,trade_count,final_cash,final_shares,SPR,CR,MDD,AV
AMZN,2022-10-06,2023-04-10,187,186,100000.0,104617.96750000003,40.8435,12,104617.96750000003,0,0.25236759638338546,4.617967500000031,-22.53011687980796,26.536297469858855
MSFT,2022-10-06,2023-04-10,187,186,100000.0,113236.48403793044,27.8132,16,113236.48403793044,0,0.7790353159090675,13.23648403793043,-11.363282680048615,20.44698529589882
NFLX,2022-10-06,2023-04-10,187,186,100000.0,119242.92940000002,24.020599999999998,16,119242.92940000002,0,0.9035227005946829,19.24292940000003,-13.47524845089888,27.10129035200199
TSLA,2022-10-06,2023-04-10,187,186,100000.0,131823.1678,31.5372,14,131823.1678,0,1.173636994591606,31.823167799999986,-13.144021055412725,34.24747618335219
Average,,,187.0,186.0,100000.0,117230.13718448262,31.053624999999997,14.5,117230.13718448262,0.0,0.7771406518696855,17.23013718448262,-15.128167266542045,27.083012325277963
